domain,privacy_url,status,screenshot_file,title,text_length,error
sollywood.net.sa,https://sollywood.com.sa/%d8%b3%d9%8a%d8%a7%d8%b3%d8%a9-%d8%a7%d9%84%d8%ae%d8%b5%d9%88%d8%b5%d9%8a%d8%a9/,success,sollywood_net_sa.png,سياسة الخصوصية | sollywood | سوليوود,7481,
solutions.com.sa,https://solutions.com.sa/website-privacy-notice/,success,solutions_com_sa.png,Privacy Notice – solutions by stc,18746,
soom.com.sa,https://soom.com.sa/privacy-policy,success,soom_com_sa.png,Privacy Policy,2511,
soqia.org.sa,https://www.soqia.org.sa/privacy-policy/,success,soqia_org_sa.png,سياسة الخصوصية | جمعية سقيا الماء بمنطقة مكة المكرمة,3482,
sor.sa,https://sor.sa/?page_id=1545,success,sor_sa.png,سياسة الخصوصية -,2545,
sorted.sa,https://sorted.sa/policies/privacy-policy,success,sorted_sa.png,سياسة الخصوصية – S.O.R.T.E.D,16418,
sos.sa,https://sos.sa/privacy-policy/,success,sos_sa.png,Privacy Policy - Saudi Orthodontic Society,2313,
sot.com.sa,https://sot.com.sa/,success,sot_com_sa.png,Home | SOT,3788,
sot.sa,https://sot.com.sa/,success,sot_sa.png,Home | SOT,3788,
sothebysrealty.sa,https://sothebysrealty.sa/ar/privacy-policy,success,sothebysrealty_sa.png,سياسة الخصوصية | سوثبيز إنترناشيونال ريالتي المملكة العربية السعودية,8973,
sotk.sa,https://sotk.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%A3%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%88-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/page-1291046961,success,sotk_sa.png,سياسة الأستخدام و الخصوصية - صوتك,8600,
souq7.sa,https://souq7.sa/privacy-policy-ar/,success,souq7_sa.png,Private Site,181,
sowan.sa,https://sowan.sa/privacy-policy-ar/,success,sowan_sa.png,سياسة الخصوصية | Sowan,5415,
sp.com.sa,https://splonline.com.sa/ar/privacy-policy/,success,sp_com_sa.png,سياسه الخصوصية | البريد السعودي | سبل,10804,
spa.sa,https://www.saudiaprivate.sa/privacy-policy,success,spa_sa.png,"SAUDIA PRIVATE | Ground Handling, Aircraft Charter, Aircraft Maintenance, Aircraft Management",5544,
space.com.sa,https://space.com.sa/privacy-policy-terms-agreement/,success,space_com_sa.png,MAHD ALFADA SPACE COMPANY | Privacy Policy & Terms Agreement,7370,
spama.sa,https://spama.sa/privacy-policy,success,spama_sa.png,Privacy Policy | متجر سباما,2852,
spc.com.sa,https://spc.com.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/,success,spc_com_sa.png,سياسة الخصوصية,2208,
spcc.com.sa,https://spcc.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/,success,spcc_com_sa.png,سياسة الخصوصية – شركة أسمنت المنطقة الجنوبية,3761,
spcc.sa,https://spcc.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/,success,spcc_sa.png,سياسة الخصوصية – شركة أسمنت المنطقة الجنوبية,3761,
specialolympics.sa,https://specialolympics.sa/ar/dynamic-page/page-31,success,specialolympics_sa.png,Special Olympics Saudi Arabia (SOSA),668,
specialtyfoodproducts.com.sa,https://specialtyfoodproducts.com.sa/privacy-policy/,success,specialtyfoodproducts_com_sa.png,سياسة الخصوصية - Specialty Food Products,17450,
speedi.sa,https://speedi.sa/privacy,success,speedi_sa.png,سبيدي - أنت اختار واحنا نوصل,15845,
speedsports.sa,https://speedsports.sa/privacy-policy,success,speedsports_sa.png,Speed Sport | Privacy Policy,1505,
spem.sa,https://spem.sa/ar/privacy,success,spem_sa.png,SPEM,2129,
spf.gov.sa,https://spf.sa/ar/privacy-policy/,success,spf_gov_sa.png,Privacy Policy – Saudi Polo Federation,11068,
spf.org.sa,https://www.spf.org.sa/pages/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA/,success,spf_org_sa.png,سياسة خصوصية البيانات | جمعية الأسر المنتجة بمنطقة جازان,633,
spf.sa,https://spf.sa/ar/privacy-policy/,success,spf_sa.png,Privacy Policy – Saudi Polo Federation,11068,
spit.sa,https://spit.sa/legal/privacy,failed,,,0,HTTP 404
spl.com.sa,https://www.spl.com.sa/en/privacy-policy,success,spl_com_sa.png,Privacy Policy | Saudi Pro League,8117,
spl.sa,https://www.spl.com.sa/en/privacy-policy,success,spl_sa.png,Privacy Policy | Saudi Pro League,8117,
splonline.com.sa,https://splonline.com.sa/ar/privacy-policy/,success,splonline_com_sa.png,سياسه الخصوصية | البريد السعودي | سبل,10804,
splus.sa,https://splus.sa/products/p2t-arenti-laxihub-indoor-camera,success,splus_sa.png,2-4MP | كاميرا مراقبة داخلية رؤية بانوراميه مراقبة ذكية غطاء الخصوصية – Splus اس بلس,3875,
spr.sa,https://spr.sa/privacy-policy,success,spr_sa.png,Privacy Policy,2656,
springfield.sa,https://www.springfield.sa/pages/privacy-policy-1,success,springfield_sa.png,Privacy policy! – Springfield KSA,23445,
spsc.com.sa,https://spsc.com.sa/privacy-policy/,success,spsc_com_sa.png,Privacy Policy - Saudi Projects and Supplies Co.,4308,
spt.sa,https://spt.sa/privacy-policy,success,spt_sa.png,SPT - لقطع غيار السيارات,3091,
sptc.com.sa,https://sptc.com.sa/privacy-policy,success,sptc_com_sa.png,SPTC-Saudi Power Transformer Company,11959,
sqf.sa,https://sqf.sa/Home/privacy?Lang=ar,success,sqf_sa.png,سقف,2271,
sqg.com.sa,https://www.sqg.com.sa/privacy,success,sqg_com_sa.png,قسمة | سياسة الخصوصية,5229,
sqr.sa,https://sqr.sa/privacy-policy.html,success,sqr_sa.png,سياسة الخصوصية | سبورتس سكوير,1576,
sr.org.sa,https://sr.org.sa/privacy/,success,sr_org_sa.png,Privacy - sr.org.sa,13556,
sraco.com.sa,https://sraco.com.sa/privacy-policy/,success,sraco_com_sa.png,Privacy Policy – SRACO,4237,
sraj.org.sa,https://sraj.org.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/,success,sraj_org_sa.png,جمعية المسؤولية الاجتماعية بمحافظة جدة » سياسة الخصوصية,3971,
src.com.sa,https://src.com.sa/en/pages/Privacy-Notice%09,success,src_com_sa.png,SRC - Saudi Real Estate | Privacy Notice,11342,
src.sa,https://src.sa/en/pages/Privacy-Notice%09,success,src_sa.png,SRC - Saudi Real Estate | Privacy Notice,11342,
srco.com.sa,https://srco.com.sa/en/pages/Privacy-Notice%09,success,srco_com_sa.png,SRC - Saudi Real Estate | Privacy Notice,11342,
srei.sa,https://www.srei.sa/News/ShowContent?contenttypeId=4,success,srei_sa.png,سياسة الخصوصية,2465,
srg.com.sa,https://srg.com.sa/ar/category/privacy-policy,success,srg_com_sa.png,,2540,
srp.com.sa,https://srp.com.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9,success,srp_com_sa.png,,174,
srx.sa,https://www.srx.sa/privacy-policy/,success,srx_sa.png,Privacy Policy – SRX Contracting,3758,
ss.sa,https://ss.sa/pages/privacy-policy,failed,,,0,HTTP 404
ssbs.com.sa,https://ssbs.com.sa/privacy-policy/,success,ssbs_com_sa.png,Privacy Policy – SSBS,4227,
ssdi@mobily.com.sa,https://ssdi@mobily.com.sa/wps/portal/web/footer/privacy,success,ssdi@mobily_com_sa.png,الخصوصية,2022,
ssf.sa,https://ssf.sa/privacy,failed,,,0,HTTP 404
ssfn.org.sa,https://ssfn.org.sa/en/privacy-policy/,success,ssfn_org_sa.png,Privacy Policy - Saudi Society for Food and Nutrition (SSFN),3082,
ssi.com.sa,https://ssi.com.sa/privacy-policy/,success,ssi_com_sa.png,Privacy Policy – Suhool International (SSI) Data Protection Commitment,3732,
ssm.sa,https://ssm.sa/privacy-policy/,failed,,,0,HTTP 404
ssmarine.sa,https://www.ssmarine.sa/ar/privacy,success,ssmarine_sa.png,privacy | Benya Marine بـنيـة البـحريـة,15172,
ssmg.org.sa,https://ssmg.org.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9,success,ssmg_org_sa.png,سياسة الخصوصية | الجمعية السعودية للطب الوراثي,4701,
ssnmmi.org.sa,https://ssnmmi.org.sa/privacy-policy-2/,success,ssnmmi_org_sa.png,Privacy Policy – SSNMMI,1753,
sso.org.sa,https://sso.org.sa/privacy-policy/,success,sso_org_sa.png,الخصوصية - الجمعية السعودية للبصريات,4015,
sspi@mobily.com.sa,https://sspi@mobily.com.sa/wps/portal/web/footer/privacy,success,sspi@mobily_com_sa.png,الخصوصية,2022,
ssrr.sa,https://ssrr.sa/privacy-policy/,success,ssrr_sa.png,"Privacy Policy - الجمعية السعودية للبحث والإنقاذ والإغاثة ""دعم """,4260,
st.com.sa,https://www.odoo.com/ar/privacy,success,st_com_sa.png,سياسة خصوصية أودو,29618,
sta.sa,https://sta.sa/%D8%B4%D8%B1%D9%88%D8%B7-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85/30/page,success,sta_sa.png,ستارتك - شروط الاستخدام,4260,
staff.com.sa,https://staff.com.sa/privacy-policy/,success,staff_com_sa.png,,4425,
star.com.sa,https://star.com.sa/,success,star_com_sa.png,STAR Group,1625,
starbucks.sa,https://starbucks.sa/en/privacy-statement,success,starbucks_sa.png,Privacy Statement | Starbucks,25656,
stats.gov.sa,https://stats.gov.sa/privacy-notice,success,stats_gov_sa.png,إشعار الخصوصية - الهيئة العامة للإحصاء,9948,
stay.com.sa,https://stay.com.sa/privacy-policy,success,stay_com_sa.png,ايجار شاليهات واستراحات وشقق و اكثر - ستاي,4303,
stc.com.sa,https://www.stc.com.sa/ar/content-page/privacy.html,success,stc_com_sa.png,السعودية stc | الخصوصية,11453,
stcbank.com.sa,https://stcbank.com.sa/privacy/,success,stcbank_com_sa.png,Privacy,19063,
stec.sa,http://stec.sa/,failed,,,0,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""http://stec.sa/"", waiting until ""domcontentloaded""
"
stitch.sa,https://www.stitch.co/privacy-policy,success,stitch_sa.png,Privacy Policy,3028,
stom.sa,https://www.stom.sa/en/privacy-policy,success,stom_sa.png,Privacy Policy | STOM,5478,
stores.sa,https://stores.sa/privacy-policy,success,stores_sa.png,Stores POS,12181,
stp.com.sa,https://stp.com.sa/privacy-policy/,success,stp_com_sa.png,Privacy Policy – Saudi Top Trading Company,942,
strawberry.sa,https://strawberry.sa/,success,strawberry_sa.png,أهلا بكم في الموقع الرسمي لمزرعة الفراولة,1519,
streampay.sa,https://streampay.sa/privacy-policy,success,streampay_sa.png,ستريم | النظام الأمثل لتحصيل مدفوعاتك,4365,
stretch-ceilings.sa,https://www.stretch-ceilings.sa/pages/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9,success,stretch-ceilings_sa.png,سياسة الخصوصية– Stretch Ceilings,4795,
stscol.com.sa,https://www.stscol.com.sa/privacy,failed,,,0,HTTP 404
sttar.sa,https://sttar.sa/policies/privacy-policy,success,sttar_sa.png,Privacy policy – STTAR,14918,
subh.sa,https://subh.sa/,success,subh_sa.png,منصة صُبح | متجر إلكتروني جاهز بمنتجات سعودية وتشغيل شامل,2442,
sudais.com.sa,https://sudais.com.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/,success,sudais_com_sa.png,سياسة الخصوصية – شركة عبدالرحمن عبدالعزيز السديس للخدمات اللوجستية,2231,
suhailpartners.sa,https://suhailpartners.sa/privacy/,success,suhailpartners_sa.png,Privacy - SuhailPartners LLP,17108,
suhol.sa,https://suhol.sa/%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9,success,suhol_sa.png,الخصوصية,2256,
sukkar.com.sa,https://sukkar.com.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9,success,sukkar_com_sa.png,Bot Verification,37,
sule.sa,https://sule.sa/policies/privacy-policy,success,sule_sa.png,Privacy policy – S U L É,8320,
sultan.sa,https://sultan.sa/blogs/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9,success,sultan_sa.png,سياسة الخصوصية,6488,
sultangrill.com.sa,https://sultangrill.com.sa/privacy-policy/,success,sultangrill_com_sa.png,الخصوصية | Privacy | سلطان الشواية,7774,
sultanholding.sa,https://sultanholding.sa/privacy-policy/,success,sultanholding_sa.png,Privacy Policy – Sultan Holding,3739,
sumo.sa,https://sumo.sa/privacy-policy,success,sumo_sa.png,سياسة الخصوصية,207,
sumou.com.sa,https://sumou.com.sa/hitten/,failed,,,0,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://sumou.com.sa/hitten/"", waiting until ""domcontentloaded""
"
sumt.sa,https://sumt.sa/privacy-policy/,success,sumt_sa.png,Privacy Policy – Sumt,1749,
sun.sa,https://sun.sa/%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9,success,sun_sa.png,سياسة الخصوصية,2835,
sunshine.com.sa,https://sunshine.com.sa/privacy-policy,success,sunshine_com_sa.png,سطوع الشمس | سياسة الخصوصية,303,
superpark.sa,https://superpark.sa/privacy-policy/,success,superpark_sa.png,» Privacy Policy,12337,
supersleep.com.sa,https://supersleep.com.sa/privacy-policy/,success,supersleep_com_sa.png,سياسة الخصوصية - سوبر سليب لتجهيزات الفنادق والشقق المفروشة,4110,
surepay.sa,https://surepay.sa/privacy-policy,success,surepay_sa.png,شركة مدفوعات شور - سياسة الخصوصية,35390,
surveyingexperts.com.sa,https://surveyingexperts-sa.com/pages/privacy-policy,success,surveyingexperts_com_sa.png,سياسة الخصوصية – Surveying Experts,4722,
suwar.sa,https://suwar.sa/,success,suwar_sa.png,سوار العقارية – العقار قرار,2877,
sv.org.sa,https://sv.org.sa/?page_id=552,success,sv_org_sa.png,تكاتف | سياسة خصوصية البيانات,532,
svw.sa,https://svw.sa/user-agreement/,success,svw_sa.png,User Agreement - Stone Veneer World,10064,
swa.gov.sa,https://www.swa.gov.sa/ar/privacy-policy,success,swa_gov_sa.png,الهيئة السعودية للمياه | سياسة الخصوصية,9962,
swag.sa,https://swag.sa/en/Privacy-Policies/page-2022446946,success,swag_sa.png,Privacy Policies - سواج Swag ملابس للجنسين هودي تيشرت قميص بنطلون شورت طقم,8106,
swu.sa,https://swu.sa/en/privacy-policy,success,swu_sa.png,Reservation System - SWU Reservation System | SWU.sa,1714,
syal.com.sa,https://syal.com.sa/privacy,success,syal_com_sa.png,,323,
syan.com.sa,https://syan.com.sa/rechtliches/datenschutz#privacy-settings,failed,,,0,HTTP 404
syartna.sa,https://syartna.sa/ar/privacy_policy,success,syartna_sa.png,سيارتنا - سياسة الخصوصية,2470,
sync.com.sa,https://www.sync.com.sa/privacy,success,sync_com_sa.png,Privacy | Sync Consulting,4762,
sync.sa,https://sync.sa/ar/p/BqoNy,success,sync_sa.png,سياسة الخصوصية وسرية المعلومات - Sync Store - المتجر المتزامن,6132,
synexcell.sa,https://synexcell.sa/privacy-policy/,success,synexcell_sa.png,Privacy Policy - SYNEXCELL,3623,
t2.sa,https://t2.sa/privacy_policy,success,t2_sa.png,T2 | سياسة الخصوصية,5057,
ta.com.sa,https://ta.com.sa/privacy-policy/?v=c12e01f2a13f,success,ta_com_sa.png,سياسة الخصوصية | مركز تقنيات العلوم للتدريب,3496,
taadeen.sa,https://taadeen.sa/ar/privacy-policy,success,taadeen_sa.png,سياسة الخصوصية | منصة تعدين,1215,
taatheer.sa,https://www.taatheer.sa/privacy-policy/,success,taatheer_sa.png,سياسة الخصوصية - تأثير للنشر,3614,
taatuf.sa,https://www.taatuf.sa/privacy-policy/,success,taatuf_sa.png,سياسة الخصوصية | جمعية تعاطف الخيرية بمنطقة الباحة,3483,
tablearts.com.sa,https://tablearts.com.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9,success,tablearts_com_sa.png,Privacy Policy,6751,
tabseer.sa,https://tabseer.co/%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/,success,tabseer_sa.png,السياسية والخصوصية - تبصير,12368,
tadawi.com.sa,https://tadawi.com.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/,success,tadawi_com_sa.png,سياسة الخصوصية - مستشفى تداوي العام,5481,
tadawulgroup.sa,https://www.tadawulgroup.sa/wps/portal/tadawulgroup/hidden/privacy,success,tadawulgroup_sa.png,Privacy,2706,
tadbeer.org.sa,https://tadbeer.org.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA/,success,tadbeer_org_sa.png,سياسة خصوصية البيانات – جمعية تدبير لخدمات المساعدات العينية,662,
tafaul.com.sa,https://tafaul.com.sa/privacy-policy/,success,tafaul_com_sa.png,Privacy Policy - شركة تفاعل العقارية,2801,
tafawaq.sa,https://tafawaq.sa/privacy-policy,success,tafawaq_sa.png,سياسة الخصوصية | تفوّق,3516,
tafear.edu.sa,https://tafearabia.edu.sa/privacy-policy-2/,success,tafear_edu_sa.png,Privacy Policy – Tafe,4330,
tafeel.com.sa,https://tafeel.com/policy/,success,tafeel_com_sa.png,,3725,
tafeel.sa,https://tafeel.com/policy/,success,tafeel_sa.png,,3725,
tagi.sa,https://tagi.sa/page.aspx?page_key=privacy_policy&lang=ar,success,tagi_sa.png,طلال أبوغزاله وشركاه - محاسبون قانونيون | سياسة الخصوصية,3856,
tahalof.sa,https://tahalof.sa/privacy-policy,failed,,,0,HTTP 404
tahara.com.sa,https://tahara.com.sa/%D8%B3%D8%A7%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/page-268580661,success,tahara_com_sa.png,ساسية الخصوصية - طهارة,2723,
tahfedsawir.sa,https://tahfedsawir.sa/Pages/2471,success,tahfedsawir_sa.png,سياسة الخصوصية,5368,
taibahu.edu.sa,https://www.taibahu.edu.sa/privacy-policy,failed,,,0,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://www.taibahu.edu.sa/privacy-policy"", waiting until ""domcontentloaded""
"
taj.org.sa,https://www.taj.org.sa/governance/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%86%D8%B4%D9%88%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D9%88%D9%82%D8%B9-%D8%A7%D9%84%D8%AC%D9%85%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A/?year=2023,success,taj_org_sa.png,سياسة خصوصية البيانات المنشورة على موقع الجمعية الإلكتروني | الجمعية الخيرية لتحفيظ القرآن الكريم بمحافظة تربة,535,
takamol.com.sa,https://www.takamol.com.sa/ar/privacy-policy,success,takamol_com_sa.png,سياسة الخصوصية | تكامل القابضة,14256,
takamolsmartcities.sa,https://takamolsmartcities.sa/privacy-policy,success,takamolsmartcities_sa.png,Takamol Smart Cities,12386,
takamolventures.com.sa,https://takamolventures.com.sa/ar/privacy-policy,success,takamolventures_com_sa.png,Takamol Ventures,14044,
